Id;AnfrageId;CPEId;Typ;ResultNr;LocalScore;GlobalScore;Created
1;42;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
2;49;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
3;51;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
4;59;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
5;92;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
6;56;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
7;60;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
8;64;745295;4;0;NULL;NULL;2023-07-17 23:13:08.783
9;64;745296;4;0;NULL;NULL;2023-07-17 23:13:08.783
10;64;745297;4;0;NULL;NULL;2023-07-17 23:13:08.783
11;64;745298;4;0;NULL;NULL;2023-07-17 23:13:08.783
12;64;745299;4;0;NULL;NULL;2023-07-17 23:13:08.783
13;64;745300;4;0;NULL;NULL;2023-07-17 23:13:08.783
14;64;745301;4;0;NULL;NULL;2023-07-17 23:13:08.783
15;67;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
16;73;745302;4;0;NULL;NULL;2023-07-17 23:13:08.783
17;73;745303;4;0;NULL;NULL;2023-07-17 23:13:08.783
18;73;745304;4;0;NULL;NULL;2023-07-17 23:13:08.783
19;78;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
20;81;745290;4;0;NULL;NULL;2023-07-17 23:13:08.783
21;81;745291;4;0;NULL;NULL;2023-07-17 23:13:08.783
22;81;745292;4;0;NULL;NULL;2023-07-17 23:13:08.783
23;81;745293;4;0;NULL;NULL;2023-07-17 23:13:08.783
24;81;745294;4;0;NULL;NULL;2023-07-17 23:13:08.783
25;89;745290;4;0;NULL;NULL;2023-07-17 23:13:08.783
26;89;745291;4;0;NULL;NULL;2023-07-17 23:13:08.783
27;89;745292;4;0;NULL;NULL;2023-07-17 23:13:08.783
28;89;745293;4;0;NULL;NULL;2023-07-17 23:13:08.783
29;89;745294;4;0;NULL;NULL;2023-07-17 23:13:08.783
30;91;NULL;4;0;NULL;NULL;2023-07-17 23:13:08.783
31;94;745290;4;0;NULL;NULL;2023-07-17 23:13:08.783
32;94;745291;4;0;NULL;NULL;2023-07-17 23:13:08.783
33;94;745292;4;0;NULL;NULL;2023-07-17 23:13:08.783
34;94;745293;4;0;NULL;NULL;2023-07-17 23:13:08.783
35;94;745294;4;0;NULL;NULL;2023-07-17 23:13:08.783
36;96;745257;4;0;NULL;NULL;2023-07-17 23:13:08.783
37;96;745258;4;0;NULL;NULL;2023-07-17 23:13:08.783
38;96;745259;4;0;NULL;NULL;2023-07-17 23:13:08.783
39;96;745260;4;0;NULL;NULL;2023-07-17 23:13:08.783
40;96;745261;4;0;NULL;NULL;2023-07-17 23:13:08.783
41;96;745262;4;0;NULL;NULL;2023-07-17 23:13:08.783
42;96;745263;4;0;NULL;NULL;2023-07-17 23:13:08.783
43;96;745264;4;0;NULL;NULL;2023-07-17 23:13:08.783
44;96;745265;4;0;NULL;NULL;2023-07-17 23:13:08.783
45;96;745266;4;0;NULL;NULL;2023-07-17 23:13:08.783
46;96;745267;4;0;NULL;NULL;2023-07-17 23:13:08.783
47;96;745268;4;0;NULL;NULL;2023-07-17 23:13:08.783
48;96;745269;4;0;NULL;NULL;2023-07-17 23:13:08.783
49;96;745270;4;0;NULL;NULL;2023-07-17 23:13:08.783
50;96;745271;4;0;NULL;NULL;2023-07-17 23:13:08.783
51;96;745272;4;0;NULL;NULL;2023-07-17 23:13:08.783
52;96;745273;4;0;NULL;NULL;2023-07-17 23:13:08.783
53;96;745274;4;0;NULL;NULL;2023-07-17 23:13:08.783
54;96;745275;4;0;NULL;NULL;2023-07-17 23:13:08.783
55;96;745276;4;0;NULL;NULL;2023-07-17 23:13:08.783
56;96;745277;4;0;NULL;NULL;2023-07-17 23:13:08.783
57;96;745278;4;0;NULL;NULL;2023-07-17 23:13:08.783
58;115;745290;4;0;NULL;NULL;2023-07-17 23:13:08.783
59;115;745291;4;0;NULL;NULL;2023-07-17 23:13:08.783
60;115;745292;4;0;NULL;NULL;2023-07-17 23:13:08.783
61;115;745293;4;0;NULL;NULL;2023-07-17 23:13:08.783
62;115;745294;4;0;NULL;NULL;2023-07-17 23:13:08.783
63;32;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
64;32;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
65;32;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
66;32;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
67;32;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
68;32;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
69;32;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
70;32;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
71;32;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
72;32;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
73;32;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
74;32;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
75;32;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
76;32;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
77;32;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
78;32;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
79;32;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
80;32;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
81;32;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
82;32;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
83;32;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
84;32;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
85;37;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
86;37;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
87;37;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
88;37;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
89;37;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
90;37;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
91;37;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
92;37;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
93;37;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
94;37;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
95;37;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
96;37;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
97;37;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
98;37;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
99;37;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
100;37;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
101;37;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
102;37;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
103;37;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
104;37;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
105;37;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
106;37;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
107;44;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
108;44;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
109;44;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
110;44;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
111;44;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
112;44;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
113;44;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
114;44;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
115;44;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
116;44;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
117;44;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
118;44;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
119;44;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
120;44;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
121;44;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
122;44;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
123;44;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
124;44;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
125;44;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
126;44;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
